
302581.436	4123862.333
302582.196	4123861.834
302582.853	4123861.344
302583.601	4123860.8
302584.319	4123860.194
302585.059	4123859.484
302585.798	4123858.688
302586.498	4123857.881
302587.121	4123857
302587.711	4123856.006
302588.112	4123855.123
302588.559	4123853.884
302588.877	4123852.382
302589.039	4123850.914
302589.057	4123849.425
302588.939	4123847.803
302588.807	4123846.613
302588.49	4123845.279
302588.034	4123843.867
302587.573	4123842.751
302586.958	4123841.522
302586.146	4123839.95
302584.695	4123837.325
302583.244	4123834.699
302581.792	4123832.074
302581.69	4123831.888
302580.231	4123829.266
302578.772	4123826.645
302577.956	4123825.177
302576.38	4123822.343
302577.314	4123824.023
302577.956	4123825.177
302578.772	4123826.645
302580.231	4123829.266
302581.69	4123831.888
302581.792	4123832.074
302583.244	4123834.699
302584.695	4123837.325
302586.146	4123839.95
302586.958	4123841.522
302587.573	4123842.751
302588.034	4123843.867
302588.49	4123845.279
302588.807	4123846.613
302588.939	4123847.803
302589.057	4123849.425
302589.039	4123850.914
302588.877	4123852.382
302588.559	4123853.884
302588.112	4123855.123
302587.711	4123856.006
302587.121	4123857
302586.498	4123857.881
302585.798	4123858.688
302585.059	4123859.484
302584.319	4123860.194
302583.601	4123860.8
302582.853	4123861.344
302582.196	4123861.834
302581.436	4123862.333
302580.58	4123862.864
302578.911	4123863.817
302578.845	4123863.855
302576.227	4123865.32
302573.61	4123866.786
302570.992	4123868.252
302568.375	4123869.717
302565.757	4123871.183
302565.558	4123871.294
302564.989	4123871.61
302564.989	4123871.61
302563.075	4123872.664
302591.376	4123841.832
302591.769	4123842.658
302592.221	4123843.937
302592.616	4123845.677
302592.88	4123846.905
302593.036	4123848.07
302593.073	4123849.747
302592.995	4123851.678
302592.684	4123853.176
302592.45	4123854.365
302592.176	4123855.29
302591.73	4123856.318
302591.005	4123857.881
302590.276	4123859.045
302589.655	4123859.937
302589.116	4123860.622
302588.457	4123861.465
